to have	έχω
ice	ο πάγος
death	ο θάνατος
frog	ο βάτραχος
wind	ο άνεμος
sleep	ο ύπνος
to sell	πουλώ
to hang	κρεμώ
to sing	τραγουδώ
to depart	αναχωρώ
to recommend	συνιστώ
to smile	χαμογελώ
to grow	καλλιεργώ
to fly	πετώ
to drive	οδηγώ
to roll	κυλώ
table	το τραπέζι
hand	το χέρι
head	το κεφάλι
girl	το κορίτσι
house	το σπίτι
foot	το πόδι
pig	το γουρούνι
bed	το κρεβάτι
arm	το χέρι
fir	το έλατο
tall	ψηλός
crisp	τραγανιστός
vexatious	οχληρός
cleaned	καθαρός
jellied	πηχτός
vocational	επαγγελματικός
stooping	καμπουρωτός
grimy	ρυπαρός
revolting	αηδιαστικός
maiden	παρθενικός
baker	οφουρνάρης
pail	ο κουβάς
miser	ο τσιγγούνης
north	ο βοριάς
smith	ο σιδεράς
burglar	ο διαρρήκτης
pilgrim	ο προσκυνητής
chart	ο χάρτης
reader	ο αναγνώστης
vagabond	ο αλήτης
to play	παίζω
to read	διαβάζω
to eat	τρώω
to raise	σηκώνω
to write	γράφω
to push	σπρώχνω
to learn	μαθαίνω
to win	κερδίζω
to decide	αποφασίζω
to offer	προσφέρω
voice	η φωνή
moment	η στιγμή
shore	η ακτή
street	η οδός
sister	η αδελφή
wife	η σύζυγος
silence	η σιωπή
instant	η στιγμή
method	η μέθοδος
rain	η βροχή
easy	εύκολος
sad	λυπημένος
careless	απρόσεκτος
holy	άγιος
stupid	ανόητος
wild	άγριος
scarce	σπάνιος
quiet	ήσυχος
ordinary	συνηθισμένος
agreeable	ευχάριστος
tobacco	ο καπνός
neck	ο λαιμός
anger	ο θυμός
wage	ο μισθός
gardener	ο κηπουρός
ocean	ο ωκεανός
thunderbolt	ο κεραυνός
cross	ο σταυρός
heap	ο σωρός
respect	ο σεβασμός
to thank	ευχαριστώ
to answer	απαντώ
to request	ζητώ
to talk	μιλώ
to dare	τολμώ
to please	ικανοποιώ
to keep	κρατώ
to shoot	πυροβολώ
to punish	τιμωρώ
to discuss	συζητώ
thing	το πράγμα
body	το σώμα
name	το όνομα
deck	το κατάστρωμα
milk	το γάλα
letter	το γράμμα
dress	το φόρεμα
mouth	το στόμα
afternoon	το απόγεμα
parcel	το δέμα
obligatory	υποχρεωτικός
officious	υπεροπτικός
perishable	φθαρτός
conditional	προσωρινός
steady	σταθερός
gleaming	αστραφτερός
grim	βλοσυρός
commendatory	επαινετικός
somber	σκοτεινός
consumptive	φυματικός
rule	ο κανόνας
elephant	ο ελέφαντας
chest	ο θώρακας
secretary	ο γραμματέας
prince	ο πρίγκηπας
witness	ο μάρτυρας
watchman	ο φύλακας
author	ο συγγραφέας
deceiver	ο απατεώνας
martyr	ο μάρτυρας
to resemble	μοιάζω
to weep	κλαίω
to show	δείχνω
to serve	σερβίρω
to burn	καίω
to buy	αγοράζω
to approach	πλησιάζω
to clear	καθαρίζω
to seize	αρπάζω
to assure	διαβεβαιώνω
desire	η επιθυμία
idea	η ιδέα
boot	η μπότα
hour	η ώρα
family	η οικογένεια
duck	η πάπια
age	η ηλικία
doubt	η αμφιβωλία
carpet	η μοκέτα
butterfly	η πεταλούδα
curious	περίεργος
enormous	τεράστιος
ugly	απαίσιος
numerous	πολυάριθμος
such	τέτοιος
useful	χρήσιμος
brave	γενναίος
entire	ολόκληρος
public	δημόσιος
fresh	φρέσκος
marriage	ο γάμος
donkey	ο γάιδαρος
husband	ο σύζυγος
uncle	ο θείος
merchant	ο έμπορος
waiter	οσερβιτόρος
stove	οφούρνος
teacher	ο δάσκαλος
guest	ο φιλοξενούμενος
cousin	ο ξάδελφος
to hate	μισώ
to last	διαρκώ
to deceive	απατώ
to fight	πολεμώ
to divide	διαιρώ
to survive	επιζώ
to perfect	τελειοποιώ
to exclaim	αναφωνώ
to beat	νικώ
to ignore	αγνοώ
knee	το γόνατο
office	το γραφείο
hospital	το νοσοκομείο
telephone	το τηλέφωνο
finger	το δάτκτυλο
school	το σχολείο
passage	το κείμενο
leaf	το φύλλο
measure	το μέτρο
tea	το τσάι
amatory	ερωτικός
homemade	σπιτικός
this	αυτός
sheltering	προστατευτικός
flimsy	ψιλός
challenging	προκλητικός
occasional	περιοδικός
winsome	θελκτικός
sneering	ειρωνικός
cultural	πολιτιστικός
ploughman	ο ζευγολάτης
ambassador	ο πρεσβευτής
bookkeeper	ο λογιστής
hermit	ο ερημίτης
warrior	ο πολεμιστής
editor	ο συντάκτης
sailor	ο ναύτης
milkman	ο γαλατάς
kinsman	ο συγγενής
hedge	ο φράκτης
to choose	διαλέγω
to lean	κλίνω
to discover	ανακαλύπτω
to build	χτίζω
to pay	πληρώνω
to tremble	τρέμω
to cut	κόβω
to receive	λαμβάνω
to surround	περιτριγυρίζω
to suffer	υποφέρω
back	η πλάτη
thought	η σκέψη
bride	η νύφη
question	η ερώτηση
fog	η ομίχλη
reply	η απάντηση
fall	η πτώση
birth	η γέννηση
study	η μελέτη
sight	η όραση
impossible	αδύνατος
unknown	άγνωστος
necessary	αναγκαίος
flat	επίπεδος
dangerous	επικίνδυνος
comfortable	άνετος
perfect	τέλειος
famous	διάσημος
splendid	υπέροχος
human	ανθρώπινος
youth	ο νεαρός
actor	ο ηθοποιός
treasure	ο θησαυρός
hesitation	ο δισταγμός
sentinel	ο σκοπός
derision	ο χλευασμός
sprout	ο βλαστός
bark	ο φλοιός
army	ο στρατός
panic	ο πανικός
to settle	εγκαθιστώ
to inhabit	κατοικώ
to threaten	απειλώ
to sound	ηχώ
to provoke	προκαλώ
to meet	συναντώ
to forgive	συγχωρώ
to suck	ρουφώ
to act	ενεργώ
to swim	κολυμπώ
forest	το δάσος
egg	το αυγό
bread	το ψωμί
box	το κουτί
light	το φώς
minute	το λεπτό
gold	το χρυσό
courage	το θάρρος
dinner	το βραδινό
interest	το ενδιαφέρον
where	πού
well	καλά
still	ακόμα
never	ποτέ
very	πολύ
twenty	είκοσι
so	έτσι
yes	ναι
until	μέχρι
near	κοντά
staple	ο συνδετήρας
parent	ο γονέας
stirrup	ο αναβολέας
flatterer	ο κόλακας
kettle	ο βραστήρας
rampart	ο προμαχώνας
cloak	ο μανδύας
century	ο αιώνας
hero	ο ήρωας
searchlight	ο προβολέας
to swear	βρίζω
to close	κλείνω
to break	σπάζω
to save	σώζω
to forbid	απαγορεύω
to wash	πλένω
to travel	ταξιδεύω
to bring	φέρνω
to doubt	αμφιβάλλω
to return	επιστρέφω
measles	η ιλαρά
attitude	η συμπεριφορά
niece	η ανηψιά
fist	η γροθιά
footprint	η πατημασιά
filth	η βρωμιά
lilac	η πασχαλιά
belly	η κοιλιά
cave	η σπηλιά
landlady	η σπιτονοικοκυρά
remunerative	αποδοτικός
polished	στιλπνός
contagious	μεταδοτικός
despotic	δεσποτικός
defiant	προκλητικός
verminous	παρασιτικός
restful	αναπαυτικός
homely	σπιτικός
commonplace	κοινός
chalky	κρητιδικός
foreigner	ο ξένος
law	ο νόμος
wolf	ο λύκος
master	ο κύριος
cuckoo	ο κούκος
policeman	ο αστυνόμος
partner	ο συνέταιρος
uproar	ο σάλος
manner	ο τρόπος
haddock	ο γάδος
to honour	τιμώ
to invite	προσκαλώ
to measure	μετρώ
to spoil	χαλώ
to hail	χαιρετώ
to chasten	τιμωρώ
to awake	ξυπνώ
to warn	προειδοποιώ
to consider	θεωρώ
to bless	ευλογώ
boy	το αγόρι
glass	το ποτήρι
soap	το σαπούνι
vinegar	το ξύδι
eyebrow	το φρύδι
leg	το πόδι
game	το παιχνίδι
tooth	το δόντι
river	το ποτάμι
hat	το καππέλο
long	μακρύς
one	ένας
also	επίσης
perhaps	ίσως
heavy	βαρύς
light	ελαφρύς
thick	παχύς
yesterday	χθες
immediately	αμέσως
evidently	προφανώς
painter	ο βάφτης
ruler	ο κυβερνήτης
bachelor	ο εργένης
benefactor	ο ευεργέτης
grumbler	ο γκρινιάρης
welder	ο οξυγονοκολλητής
fugitive	ο φυγάς
collector	ο συλλέκτης
customer	ο πελάτης
advertiser	ο διαφημιστής
to hide	κρύβω
to continue	συνεχίζω
to bend	σκύβω
to bite	δαγκώνω
to pack	πακετάρω
to propose	προτείνω
to astonish	εκπλήσσω
to kill	σκοτώνω
to repeat	επαναλαμβάνω
to sign	υπογράφω
music	η μυσική
scene	η σκηνή
machine	η μηχανή
roof	ηοροφή
beach	η ακτή
life	η ζωή
rage	η οργή
soul	η ψυχή
prison	η φυλακή
cry	η κραυγή
proud	υπερήφανος
excellent	άριστος
rare	σπάνιος
weak	αδύναμος
pure	ατόφιος
miserable	δυστυχισμένος
just	δίκαιος
beautiful	όμορφος
honest	τίμιος
immediate	άμεσος
thigh	ομηρός
grandson	ο εγγονός
appointment	οδιορισμός
lark	ο κορυδαλλός
sigh	ο αναστεναγμός
station	ο σταθμός
rank	ο βαθμός
hunter	ο κυνηγός
shot	οπυροβολισμός
reviewer	ο κριτικός
to wear	φορώ
to glide	γλιστρώ
to knock	χτυπώ
to rush	ορμώ
to inform	πληροφορώ
to set	τοποθετώ
to surpass	ξεπερνώ
to owe	χρωστώ
to praise	επαινώ
to gladden	ευχαριστώ
floor	το πάτωμα
wave	το κύμα
skin	το δέρμα
sunset	το ηλιοβασίλεμα
blood	το αίμα
accident	το ατύχημα
lie	το ψέμα
example	το παράδειγμα
occupation	το επάγγελμα
sentiment	το αίσθημα
why	γιατί
blue	μπλε
already	ήδη
here	εδώ
almost	σχεδόν
now	τώρα
with	μαζί
enough	αρκετά
often	συχνά
late	αργά
chef	ο μάγειρας
basin	ο νιπτήρας
dipper	ο νεροκότσυφας
perspiration	ο ίδρωτας
suitor	ο μνηστήρας
dictator	ο δικτάτορας
character	ο χαρακτήρας
pope	ο πάπας
orator	ο ρήτωρας
pulpit	ο άμβωνας
to add	προσθέτω
to move	μετακομίζω
to arrange	κανονίζω
to recognize	αναγνωρίζω
to spend	ξοδεύω
to conduct	διεξάγω
to send	στέλνω
to prove	αποδεικνύω
to breathe	αναπνέω
to persuade	πείθω
week	η εβδομάδα
stone	η πέτρα
work	η εργασία
newspaper	η εφιμερίδα
truth	η αλήθεια
chance	η ευκαιρία
route	η πορεία
kitchen	η κουζίνα
curtain	η κουρτίνα
staircase	η σκάλα
fleecy	μαλλιαρός
editorial	εκδοτικός
stifling	αποπνικτικός
jagged	οδοντωτός
deniable	αρνητικός
antiquarian	αρχαιολογικός
oriental	ανατολικός
plump	παχουλός
affirmative	καταφατικός
adverbial	επιρρηαμτικός
lawyer	ο δικηγόρος
hill	ο λόφος
widower	ο χήρος
angel	ο άγγελος
oath	ο όρκος
devil	ο διάβολος
sound	ο ήχος
nap	ο υπνάκος
crag	ο βράχος
consul	ο πρόξενος
to disturb	ενοχλώ
to mark	βαθμολογώ
to deprive	στερώ
to obtain	αποκτώ
to displease	δυσαρεστώ
to prompt	παρακινώ
to confess	ομολογώ
to direct	καθοδηγώ
to acquire	αποκτώ
to curse	βλαστημώ
train	το τρένο
apple	το μήλο
airplane	το αεροπλάνο
ship	το πλοίο
smile	το χαμόγελο
ticket	το εισιτήριο
shirt	το πουκάμισο
dream	το όνειρο
autumn	το φθινόπωρο
shoe	το παπούτσι
otherwise	αλλιώς
deep	βαθύς
blunt	αμβλύς
broad	φαρδύς
early	νωρίς
four	τέσσερις
precise	ακριβής
noble	ευγενής
orange	πορτοακλής
jealous	ζηλιάρης
employer	ο εργοδότης
seaman	ο ναύτης
giver	ο δωρητής
liar	ο ψεύτης
weaver	ο υφαντής
priest	ο παπάς
overseer	ο επιστάτης
sharpener	ο ξύστης
pickpocket	ο πορτοφολάς
climber	ο ορειβάτης
to weigh	ζυγίζω
to obey	υπακούω
to cover	καλύπτω
to deepen	βαθαίνω
to occupy	καταλαμβάνω
to endure	αντέχω
to beg	ζητιανεύω
to lend	δανείζω
to cook	μαγειρεύω
to dance	χορεύω
visit	η επίσκεψη
memory	η μνήμη
library	η βιβλιοθήκη
arrival	η άφιξη
taste	η γεύση
proof	η απόδειξη
sugar	η ζάχαρη
phrase	η φράση
order	η τάξη
nature	η φύση
rich	πλούσιος
calm	ήρεμος
third	τρίτος
ridiculous	γελοίος
busy	απασχολημένος
wonderful	θαυμάσιος
elder	μεγαλύτερος
hollow	κούφιος
first	πρώτος
equal	ίσος
frost	ο παγετός
cliff	ο γκρεμός
musician	ο μουσικός
thunder	ο κεραυνός
hare	ο λαγός
wrist	ο καρπός
pheasant	ο φασιανός
admiration	ο θαυμασμός
coward	ο δειλός
equipment	ο εξοπλισμός
to mean	εννοώ
to pierce	διατρυπώ
to chastise	τιμωρώ
to slip	γλιστρώ
to summon	καλώ
to treat	κερνώ
to harass	παρενοχλώ
to beseech	εκλιπαρώ
to investigate	εξερευνώ
to attempt	προσπαθώ
bacon	το μπέικον
pork	το χοιρινό
coat	το παλτό
lamb	το αρνί
shop	το μαγαζί
part	το μέρος
lunch	το μεσημεριανό
tear	το δάκρυ
ear	το αυτί
food	το φαγητό
far	μακριά
quickly	γρήγορα
finally	τελικά
only	μόνο
brown	καφέ
together	μαζί
truly	αλήθεια
today	σήμερα
slowly	αργά
suddenly	ξαφνικά
pianist	ο πιανίστας
palm	ο φοίνικας
ramrod	ο εμβολέας
contest	ο αγώνας
splint	ο νάρθηκας
emperor	ο αυτοκράτορας
prairie	ο λειμώνας
adult	ο ενήλικας
fan	ο ανεμιστήρας
race	ο αγώνας
to permit	επιτρέπω
to sew	ράβω
to prepare	προετοιμάζω
to earn	κερδίζω
to flatten	ισοπεδώνω
to accompany	συνοδεύω
to steal	κλέβω
to abandon	εγκαταλείπω
to dine	γευματίζω
to heal	επουλώνω
viper	η οχιά
beauty	η ομορφιά
dirt	η βρωμιά
tail	η ουρά
rust	η σκουριά
offer	η προσφορά
turn	η σειρά
lair	η φωλιά
firefly	η κωλοφωτιά
apron	η ποδιά
academical	ακαδημαϊκός
accessory	συμπληρωματικός
complimentary	φιλοφρονητικός
enjoyable	απολαυστικός
demure	σεμνός
bothersome	ενοχλητικός
thickset	πυκνός
contemplative	στοχαστικός
greenish	πρασινωπός
hoary	πολιός
brush	ο θάμνος
hook	ο γάντζος
tomb	ο τάφος
title	ο τίτλος
musk	ομόσχος
opponent	ο αντίπαλος
philosopher	οφιλόσοφος
tone	ο τόνος
mill	ο μύλος
lizard	ο σαύρος
to detain	κρατώ
to observe	παρατηρώ
to clap	χειροκροτώ
to besiege	πολιορκώ
to inherit	κληρονομώ
to create	δημιουργώ
to agree	συμφωνώ
to employ	εργοδοτώ
to satisfy	ικανοποιώ
to proceed	προχωρώ
fork	το πηρούνι
watch	το ρολόι
hail	το χαλάζι
colt	το πουλάρι
calf	το μοσχάρι
oil	το λάδι
lip	το χείλι
purse	το πορτοφόλι
rabbit	το κουνέλι
dish	το πιάτο
mysterious	μηστεριώδης
thirteen	δεκατρείς
totally	εντελώς
rough	τραχύς
fourteen	δεκατέσερρις
entirely	εντελώς
extraordinary	ασυνήθης
healthy	υγιής
rude	αγενής
exact	ακριβής
host	ο οικοδεσπότης
viscount	ο υποκόμης
traveller	ο ταξιδιώτης
hijacker	ο αεροπειρατής
feeder	ο τροφοδότης
conspirator	ο συνωμότης
hinge	ο μεντεσές
violet	ο μενεξές
glutton	ο φαγάς
speaker	ο ομιλητής
to amuse	διασκεδάζω
to load	φορτώνω
to turn	στρίβω
to prevent	εμποδίζω
to sweeten	γλυκαίνω
to furnish	επιπλώνω
to flee	καταφεύγω
to tend	τείνω
to rain	βρέχω
to touch	αγγίζω
oak	η δρύς
prayer	η προσευχή
sand	η άμμος
coast	η ακτή
breath	η αναπνοή
dawn	η αυγή
hoof	η οπλή
wish	η ευχή
payment	η πληρωμή
advice	η συμβουλή
pretty	χαριτωμένος
unable	ανίκανος
useless	άχρηστος
fragile	εύθραστος
nice	ωραίος
monotonous	μονότονος
spontaneous	αυθόρμητος
stiff	αλύγιστος
next	επόμενος
violent	βίαιος
crowbar	ο λοστός
heaven	ο ουρανός
specialist	ο ειδικός
nephew	ο ανηψιός
partnership	ο συνεταιρισμός
believer	ο πιστός
camp	ο καταυλισμός
enticement	ο δελεασμός
creator	ο δημιουργός
fever	ο πυρετός
to come	έρχομαι
to think	σκέπτομαι
to feel	αισθάνομαι
to become	γίνομαι
to sit	κάθομαι
to appear	εμφανίζομαι
to disappear	εξαφανίζομαι
to marry	παντρεύομαι
to dress	ντύνομαι
to imagine	φαντάζομαι
space	το διάστημα
welcome	το καλωσόρισμα
color	το χρώμα
lesson	το μάθημα
ghost	το φάντασμα
scaffold	το ικρίωμα
spectacle	το θέαμα
apartment	το διαμέρισμα
bet	το στοίχημα
poem	το ποιήμα
tomorrow	αύριο
everywhere	παντού
really	πραγματικά
out	έξω
soon	σύντομα
carefully	προσεκτικά
five	πέντε
up	πάνω
six	έξι
naturally	φυσικά
struggle	ο αγώνας
carrier	ο μεταφορέας
giant	ο γίγαντας
sweat	ο ίδρωτας
sinew	ο τένοντας
herald	ο κήρυκας
spray	ο ψεκαστήρας
tourist	ο τουρίστας
ape	ο πίθηκας
axis	ο αξώνας
to gratify	ικανοποιώ
to repent	μετανοώ
to sustain	συγκρατώ
to grieve	θρηνώ
to dash	ορμώ
to overcome	ξεπερνώ
to beget	γεννώ
to venture	αποτολμώ
to conquer	κατακτώ
to overtake	προσπερνώ
image	η εικόνα
chair	η καρέκλα
corner	η γωνία
lamp	η λάμπα
church	η εκκλησία
friendship	η φιλία
lady	η κυρία
hope	η ελπίδα
service	η υπηρεσία
bath	η μπανιέρα
presidential	προεδρικός
flashy	φανταχτερός
voluble	ομιλητικός
manifold	πολλαπλός
aristocratic	αριστοκρατικός
auxiliary	βοηθητικός
effective	αποτελεσματικός
decorative	διακοσμητικός
animal	ζωικός
preventive	προληπτικός
brain	ο εγκέφαλος
accomplice	ο σύνεργος
rock	ο βράχος
steward	ο θαλαμηπόλος
swan	ο κύκνος
unbeliever	ο άπιστος
railroad	οσιδηρόδρομος
grave	ο τάφος
moth	ο σκώρος
slime	οβούρκος
to sleep	κοιμάμαι
to recount	αφηγούμαι
to refuse	αρνούμαι
to remember	θυμάμαι
to fear	φοβάμαι
to regret	λυπάμαι
to deny	αρνούμαι
to undergo	υφίσταμαι
to wander	περιπλανούμαι
to roar	βρύχωμαι
butter	το βούτηρο
park	το πάρκο
cheek	το μάγουλο
plate	το πιάτο
laugh	το γέλιο
sheep	το πρόβατο
university	το πανεπιστήμιο
forehead	το μέτωπο
bedroom	το υπνοδωμάτιο
harbour	το λιμάνι
evident	προφανής
ignoble	αναξιοπρεπής
joyful	περιχαρής
lazy	τεμπέλης
thoroughly	εντελώς
much	πολύς
likewise	ομοίως
brutal	κτηνώδης
transparent	διαφανής
three	τρείς
champion	ο πρωταθλητής
nomad	ο νομάς
drunkard	ο μπεκρής
pupil	ο μαθητής
liberator	ο απελευθερωτής
indicator	ο δείκτης
buyer	ο αγοραστής
hypocrite	ο υποκριτής
thief	ο κλέφτης
palfrey	ο κέλης
to listen	ακούω
to happen	συμβαίνω
to admire	θαυμάζω
to declare	δηλώνω
to approve	εγκρίνω
to let	αφήνω
to freeze	παγώνω
to mock	κοροιδεύω
to darken	σκοτεινιάζω
to differ	διαφέρω
impression	η εντύπωση
city	η πόλη
spring	η άνοιξη
expression	η έκφραση
movement	η κίνηση
heat	η ζέστη
pocket	η τσέπη
peace	η ειρήνη
luck	η τύχη
sadness	η λύπη
suspicious	ύποπτος
worthy	άξιος
superb	υπέροχος
plentiful	άφθονος
naive	μωρόπιστος
foolish	ανόητος
nervous	ανήσυχος
unbearable	αφόρητος
clumsy	αδέξιος
ill	άρρωστος
pace	ορυθμός
officer	ο αξιοματικός
fool	ο χαζός
flea	ο ψυλλός
kite	ο χαρταετός
nullification	ο μηδενισμός
peacemaker	ο ειρηνοποιός
torch	ο φακός
enemy	ο εχθρός
eagle	ο αετός
to work	εργάζομαι
to rejoice	χαίρομαι
to accept	δέχομαι
to shave	ξυρίζομαι
to rely	βασίζομαι
to seem	φαίνομαι
to wish	εύχομαι
to promise	υπόσχομαι
to admit	παραδέχομαι
to swell	πρήζομαι
garage	το γκαράζ
bird	το πουλί
bathroom	το λουτρό
paper	το χαρτί
weight	το βάρος
rug	το χαλί
crowd	το πλήθος
village	το χωριό
husk	το κέλυφος
land	το έδαφος
probably	μάλλον
willingly	πρόθυμα
afterward	μετά
surely	σίγουρα
moreover	επιπλέον
equally	εξίσου
eight	οκτώ
regularly	τακτικά
grateful	ευγνώμων
nevertheless	ωστόσο
hairdresser	ο κομμωτής
tenant	ο ενοικαστής
announcer	ο εκφωνητής
magistrate	ο δικαστής
potter	ο αγγειοπλάστης
patron	ο προστάτης
worker	ο εργάτης
tramp	ο αλήτης
doer	ο δράστης
harvester	ο θεριστής
to crave	λαχταρώ
to value	εκτιμώ
to chase	κυνηγώ
to remove	αφαιρώ
to deem	θεωρώ
to drag	τραβώ
to hurl	πετώ
to grant	χορηγώ
to chew	μασώ
to vex	ενοχλώ
damage	η ζημιά
burrow	η φωλιά
conduct	η συμπεριφορά
task	η δουλειά
manure	η κοπριά
laziness	η τεμπελιά
purchase	η αγορά
solitude	η μοναξιά
sequence	η σειρά
beech	η οξιά
fleshly	σωματικός
frowning	σκυθρωπός
hoarse	βραχνός
pressing	πιεστικός
vestigial	υπολειμματικός
persuasive	πειστικός
resourceful	επινοητικός
doctrinal	δογματικός
demanding	απαιτητικός
communist	κομουνιστικός
cap	ο σκούφος
danger	ο κίνδυνος
juror	ο ένορκος
hostage	οόμηρος
prisoner	ο φυλακισόμενος
chaos	ο χάος
marquis	ο μαρκήσιος
printer	ο τυπογράφος
bishop	ο επίσκοπος
habitat	ο βιότοπος
to oversleep	παρακοιμάμαι
to resign	παραιτούμαι
to quit	παραιτούμαι
to imitate	μιμούμαι
to roam	περιπλανιέμαι
to depend	εξαρτιέμαι
to wonder	αναρωτιέμαι
to complain	παραπονιέμαι
to boast	καυχιέμαι
to attack	επιτίθεμαι
pillow	το μαξιλάρι
lemon	το λεμόνι
summer	το καλοκαίρι
orange	το πορτοκάλι
stomach	το στομάχι
piece	το κομμάτι
cherry	το κεράσι
cupboard	το ντουλάπι
corn	το καλαμπόκι
marble	το μάρμαρο
fortunate	ευτυχής
without	χωρίς
wide	φαρδύς
continuous	συνεχής
habitual	συνήθης
none	κανένας
direct	ευθύς
modest	μετριόφρονας
constant	συνεχής
perpetual	διαρκής
argument	ο καβγάς
sponsor	ο εγγυητής
robber	ο ληστής
carver	ο γλύπτης
count	ο κόμης
sportsman	ο αθλητής
passenger	ο επιβάτης
blunderer	ο ατζαμής
scraper	ο ξύστης
senator	ο γερουσιαστής
to get	παίρνω
to grind	αλέθω
to melt	λιώνω
to advertise	διαφημίζω
to smell	μυρίζω
to immigrate	μεταναστεύω
to disapprove	αποδοκιμάζω
to mend	επισκευάζω
to avoid	αποφεύγω
to quote	αναφέρω
robe	η τήβεννος
harvest	η συγκομιδή
shame	η ντροπή
line	η γραμμή
collection	η συλλογή
nun	η μοναχή
entrance	η είσοδος
fox	η αλεπού
copy	η αντιγραφή
attention	η προσοχή
fifth	πέμπτος
graceful	χαριτωμένος
timid	άτολμος
dreadful	απαίσιος
essential	απαραίτητος
haughty	αγέρωχος
shabby	ξεφτισμένος
someone	κάποιος
intelligent	έξυπνος
ripe	ώριμος
bug	οκοριός
portent	ο οιωνός
monk	ο μοναχός
scorpion	ο σκορπιός
equator	ο ισημερινός
crucifix	ο σταυρός
dance	οχορός
tourism	οτουρισμός
bedbug	οκοριός
psalm	ο ψαλμός
to defend	υπερασπίζομαι
to require	χρειάζομαι
to sink	βυθίζομαι
to bathe	λούζομαι
to pray	προσεύχομαι
to assemble	συγκεντρώνομαι
to stand	στέκομαι
to lie	ψεύδομαι
to resist	αντιστέκομαι
to undress	ξεντύνομαι
material	το ύφασμα
problem	το πρόβλημα
bedspread	το πάπλωμα
chariot	το άρμα
marvel	το θαύμα
